zip,population,population_density,median_household_income,mean_household_income,land_area,water_area,white,black,asian,hispanic,male_population,median_age
94563,17672,1022.8,161567,211525,17.26,0.01,82.3,0.8,11.5,4.6,48.6,47.8
94564,18287,3024,77476,92608,5.59,0.46,46.3,13.4,22.8,21.9,47.5,42.6
94565,84641,2497.5,55709,70202,30.2,3.69,37.8,16.1,14.2,45.6,49,31.8
94566,40884,2068.8,119764,149611,19.61,0.15,71.9,1.4,18.5,10.7,48.7,42.2
94567,623,4.7,57074,73053,131.41,2.42,83.3,0.2,1.4,25.2,48.5,39.8
94568,46016,3009.7,112717,126606,15.29,0,51.4,9.5,26.8,14.5,52.1,35.3
94569,198,83.7,92743,82591,2.37,0,89.4,1.5,3.5,5.1,49,53.3
94571,7911,57.2,60556,71035,117.62,20.72,81.4,4.7,4.7,13.8,48.6,56.3
94572,8684,1661.6,63803,74911,4.34,0.88,43.7,16.2,20.6,24.6,48.8,38.1
94573,94,94.2,61012,66915,1,0,80.9,NA,NA,40.4,53.2,46
94574,8742,67.3,83733,131313,127.8,2.09,79.4,0.5,1.8,29.5,47.9,45.3
94575,974,5523.7,NA,NA,0.17,0.01,64.6,11.1,7.8,21.9,40.1,19.6
94576,164,443.9,37614,68310,0.37,0,87.8,0.6,3.7,18.3,42.7,49.5
94577,45560,4787.5,63878,77481,8.15,1.37,40.3,12.9,24.8,29.3,48,39.5
94578,38558,8755.3,53465,63046,4.4,0,33.3,20.3,20.6,34,48.6,34
94579,20571,6566.9,67299,79195,3.13,0,35.4,6.6,42.5,21.3,48.3,40.8
94580,27152,7860.1,69031,77773,3.45,0.01,44.3,6.3,24.2,36,48.8,37.3
94582,38537,2961.3,130752,156585,13,0.02,42,3.1,47.6,6.7,49.1,35.9
94583,34859,2331.2,117384,135043,14.95,0,66.4,2.5,22.4,10.8,49.2,39
94585,28263,241,72500,82006,112.41,4.87,38.8,20.2,18.9,24,49.4,33
94586,925,15.6,95250,176784,58.65,0.77,85.1,0.1,5.5,9.5,50.4,49.2
94587,69516,3525.1,83066,98012,19.72,0,23.9,6.3,50.9,22.9,49.4,36.2
94588,30842,944.8,120008,141820,32.64,0,61.2,2,28.8,9.8,49.5,38.8
94589,29876,2577.5,58190,67439,11.46,0.13,25.5,24.5,26.8,28.1,48.7,36.9
94590,35420,5121.9,43754,58001,5.94,0.97,39.3,25,12.3,27.3,48.6,36.1
94591,53042,2378.2,75321,89469,21.58,0.73,33.1,18.6,31.3,17.2,48.6,39.3
94592,742,175.2,72031,123161,4.23,0.01,36.9,11.3,37.3,12,49.1,35.1
94595,16425,3053.7,58477,89633,5.38,0,87.1,1.1,7.5,4.8,40.8,66.9
94596,20037,3359.2,78402,107649,5.96,0,78.4,2.2,10.7,11.6,49.4,39.8
94597,20277,5179.6,83093,102325,3.91,0,74.3,2.4,14.3,10.7,48.1,39.2
94598,25818,1691.8,117500,146000,15.25,0.01,77.3,1.1,15.1,6.6,47.8,47.2
94599,3021,1030.4,69290,113758,2.93,0,89.5,1.3,1.7,9.8,57.4,63.8
94601,50294,14935.4,37609,50236,3.25,0.12,25.4,18.4,17.8,53.8,51.3,30.9
94602,28329,8497.5,70105,94715,3.3,0.03,45.6,17.9,23.2,13.8,46.5,41.3
94603,31403,9630.1,40062,51836,3.26,0,20.5,37.8,4.5,52.6,49.1,29.7
94605,39016,4330.3,56434,73051,8.96,0.05,21.9,52.7,6.4,22.2,46.9,38.1
94606,36672,14637,39230,50377,2.29,0.22,20.8,19.5,42.4,19.8,49.2,35.5
94607,24978,3527.8,32716,53533,5.9,1.18,19.9,38.5,28.8,12.6,50.4,36
94608,28019,8212.8,53936,71831,2.74,0.67,35.4,36.5,15.5,12.2,49.6,35.5
94609,20596,12057,48658,66067,1.71,0,46.6,33.2,7.9,11.4,47.6,34.6
94610,29287,12119.5,73127,110831,2.18,0.23,56.9,18.6,14.7,8.5,46.6,39.5
94611,36565,3461.7,99475,150591,10.56,0,69.2,8.3,14.2,6.6,47.4,43.9
94612,14389,16899.4,26314,47118,0.85,0,27.8,29.6,30.2,12.3,52,40.2
94613,715,2820,NA,NA,0.25,0,56.8,10.2,12.3,23.1,10.4,20.6
94618,16046,6589.6,114759,164950,2.43,0.01,76.7,4.9,10.9,6.7,46.5,41.5
94619,23299,1363.7,75041,97836,15.65,1.44,35.8,26.8,22.3,16.1,46.5,40.5
94621,29870,3127.6,30780,41132,7.78,1.77,20.3,36.5,4.3,54.8,49.5,28.8
94702,15979,12543.5,54825,74802,1.27,0,51.8,22.5,11.9,14,47.1,39.5
94703,19846,14852.3,54805,78751,1.34,0,55.4,18.3,13,12.8,49.1,35.7
94704,25592,23930,34169,49490,1.07,0,47.2,4.6,37.1,10.4,50.2,21.7
