zip,population,population_density,median_household_income,mean_household_income,land_area,water_area,white,black,asian,hispanic,male_population,median_age
95039,1377,82.5,46944,56976,14.74,1.94,57.7,1.7,2,63.8,51.4,35.6
95045,4046,85.3,58625,81329,47.41,0.03,62.2,1,3.5,45.2,49.6,40.7
95046,6417,328.7,83844,118582,19.48,0.04,62.1,0.5,6.8,44.9,50.8,38.7
95050,35923,6807.6,65371,84184,5.28,0,55,3.3,23.5,25.8,50.3,33.9
95051,54327,8159.4,100375,114394,6.66,0,44.6,2.2,39.9,17.8,50.2,35.9
95053,2206,12925.5,NA,NA,0.17,0,63.6,3.8,17.7,18.5,46.6,19.7
95054,23364,3730.1,115068,127989,6.26,0,27.9,3,56.7,13.5,51.7,32.9
95060,46377,652.1,64232,90369,67.83,3.3,77.2,1.8,5.9,18.6,51.3,34.7
95062,36079,5709.7,60446,77252,5.05,1.27,78.4,1.3,3.7,22,49.4,38.5
95064,7331,3908.5,51678,63647,1.88,0,57.4,1.9,21.5,21.4,46.5,19.7
95065,8113,725.1,80269,113113,11.19,0,81.5,1.1,3.3,18.9,49,42.9
95066,14749,778.2,111542,123312,18.95,0,87,0.8,4.6,9.4,49.2,42.4
95070,30617,1199.8,156762,203896,25.49,0.02,54.3,0.3,40.9,3.5,48.9,47.8
95073,10154,478.9,68955,104066,21.2,0,84.5,0.7,2.8,15,49.1,45
95075,331,3.6,62500,102053,93.01,0.15,82.8,0.3,0.6,28.4,53.5,43.7
95076,82474,592.5,56620,71101,136.6,2.61,51.2,0.7,3.2,70.5,50.6,31.1
95110,18730,4013.7,63125,79215,4.67,0,46.4,3.7,10.1,63.1,57.3,31.7
95111,58466,10825.8,56400,69781,5.39,0.01,30.5,3.6,33.8,51.2,50.5,31.8
95112,55927,7885.1,48070,69909,7.09,0,44,4.4,23.5,44.5,53.8,30.4
95113,893,2618,19737,51372,0.34,0,43.1,15,32.6,13.3,53.1,38
95116,51496,14382.4,48838,60100,3.58,0,33.8,2.5,23.9,65.4,51.1,30.8
95117,30067,11692.8,64285,84424,2.57,0,49.8,5.3,20.4,34.8,50.6,33.6
95118,31932,7703.5,86471,102110,4.15,0,67.7,2.1,12.9,26.4,49.1,37.4
95119,9970,3520.2,110974,118519,2.83,0,58.9,3.6,18.6,29.7,50.4,36.8
95120,37457,925.5,148801,171065,39.76,0.72,63.3,0.8,29.6,6.9,49.7,44.4
95121,37469,8454,82568,100290,4.43,0,22.8,3.2,52.3,32.5,49.9,35.3
95122,56545,11856.7,56581,67116,4.77,0,28.5,2.4,30,62.7,51.4,30.1
95123,62228,7478.1,85494,100041,8.32,0,55.9,4.2,18.8,30.2,49.2,35.9
95124,47082,7166.5,104514,120841,6.57,0,72,1.6,13.8,17.3,49.6,39.7
95125,51939,6488.5,95316,130583,8,0,69.1,3.1,11.5,25.2,48.4,39.9
95126,31049,9458.8,69407,94710,3.28,0,54.5,5.4,14,38.3,50.7,33.3
95127,61325,4713.1,69365,86953,13.01,0,40.6,2.3,20.8,59.1,51.1,32.9
95128,34836,8922.8,65805,91481,3.9,0,57.4,4.3,13.9,37.2,49.9,35.1
95129,38720,8581.5,102701,123721,4.51,0,34.1,1.4,57.7,7.3,49.2,39.4
95130,13911,8929.9,98819,111725,1.56,0,57.5,3.4,25,18.3,49.9,38.2
95131,28565,4913.1,102954,118843,5.81,0,16.4,2.7,70.4,13.6,50.2,35.8
95132,40299,760.4,93896,105020,50.97,2.03,24.3,2.5,60.6,17,50,38.3
